,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
729,Blue Shift,107894,Mixed or average reviews,11,"Sports, Traditional, Baseball, Arcade",,Midway,https://www.metacritic.com/company/midway,E10+,Generally favorable reviews,10
730,Blue Shift,163009,Mixed or average reviews,15,"Sports, Traditional, Baseball, Arcade",,Midway,https://www.metacritic.com/company/midway,E10+,No user score yet,
731,Sports Interactive,107596,Mixed or average reviews,7,"Sports, Traditional, Team, Baseball, Management, Sim",,Sports Interactive,https://www.metacritic.com/company/sports-interactive,,No user score yet,
732,"EA Canada, Exient Entertainment",107899,Mixed or average reviews,15,"Sports, Traditional, Team, Soccer, Sim, Sim",2 Players Online,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E,Mixed or average reviews,9
733,Rockstar San Diego,107947,Generally favorable reviews,75,"Sports, Traditional, Individual, Tennis, Other, Tennis",8 Players Online,Rockstar Games,https://www.metacritic.com/company/rockstar-games,E,Generally favorable reviews,82
734,Backbone Entertainment,107666,Mixed or average reviews,17,"Sports, Traditional, Team, Basketball, Arcade, Arcade",,Midway,https://www.metacritic.com/company/midway,E,Generally favorable reviews,7
735,Tecmo,107302,Mixed or average reviews,15,"Sports, Alternative, Horse Racing",,Tecmo,https://www.metacritic.com/company/tecmo,E,Generally favorable reviews,8
736,KCET,106991,Generally favorable reviews,7,"Sports, Traditional, Team, Soccer, Sim, Sim",,Konami,https://www.metacritic.com/company/konami,E,Generally favorable reviews,98
737,EA Canada,163381,Mixed or average reviews,4,"Sports, Traditional, Soccer, Sim",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E,Mixed or average reviews,7
738,"EA Canada, Exient Entertainment",107900,Mixed or average reviews,7,"Sports, Traditional, Team, Soccer, Sim, Sim",No Online Multiplayer,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E,Mixed or average reviews,9
739,EA Canada,107901,Generally favorable reviews,28,"Sports, Traditional, Soccer, Sim",2 Players Online,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E,Generally favorable reviews,40
